,customer_id,property_type,property_value,property_address,purchase_date,mortgage_status,mortgage_lender,mortgage_amount
0,2138,Nhà ở,1647810615.8273976,"29389 Cynthia Junction Apt. 619
Port Justin, VI 74799",2023-06-24,Không vay,PQR Mortgage,997265962.7946216
1,2389,Căn hộ,922368140.484057,"030 Samuel Road Apt. 547
Castrohaven, VT 18950",2022-01-17,Chưa vay,PQR Mortgage,922257429.0196013
2,2781,Nhà ở,3631247900.4579954,"29821 Cindy Oval
Benjaminborough, NY 49323",2020-01-19,Đã trả hết,XYZ Credit,1223191526.5024774
3,2105,Đất nền,637654923.650991,"61028 Smith Locks Apt. 256
South Tanya, VA 17126",2022-01-20,Chưa vay,ABC Bank,1884383409.27917
4,2391,Căn hộ,4860682926.323447,"40037 Dana Loaf
Raymondshire, MS 14372",2023-06-12,Chưa vay,XYZ Credit,1551031890.74983
5,2962,Biệt thự,2987868093.318343,"15427 Alec Flat Suite 344
East Larryburgh, SD 51316",2020-06-07,Đã trả hết,XYZ Credit,1386012225.7149513
6,2780,Biệt thự,4785100048.810371,"002 Julia Camp Suite 822
Charlotteport, AZ 42965",2022-02-03,Chưa vay,PQR Mortgage,1691398153.7588885
7,2570,Nhà ở,1336578196.5262296,"440 Reyes Ville Apt. 111
Port Caleb, NV 86796",2022-12-03,Đã trả hết,ABC Bank,1511978654.8027458
8,2918,Biệt thự,2784727627.3009224,"541 Lewis Mount Apt. 404
Jaybury, IA 81323",2021-09-26,Đang vay,MNO Finance,639902796.7185014
9,2997,Biệt thự,4307888382.927407,"368 Jessica Springs Suite 438
North Jennifer, VA 33774",2021-09-10,Không vay,ABC Bank,1012431248.7334454
10,2762,Biệt thự,2364412996.853484,"925 Paul Mountain
North Williefurt, MA 54510",2020-02-25,Đang vay,MNO Finance,1142717646.6374907
11,2720,Đất nền,889104153.7771174,"2392 Hamilton Station Apt. 838
Jacobberg, RI 53415",2022-09-03,Chưa vay,XYZ Credit,1089782993.4649758
12,2403,Đất nền,2703620842.080162,"585 Reyes Pines
South Erikahaven, MP 70371",2023-07-24,Chưa vay,PQR Mortgage,182625851.67740214
13,2721,Biệt thự,3412202743.936862,"9993 Ross Terrace Suite 406
Franklinmouth, KY 25871",2019-05-01,Đang vay,XYZ Credit,1965945611.323215
14,2790,Căn hộ,2928278518.0240045,"90785 French Viaduct Apt. 799
South Karen, KY 81806",2020-10-28,Đang vay,PQR Mortgage,1076166160.0565104
15,2976,Đất nền,2566092793.5980077,"355 Autumn Trafficway Suite 992
Markburgh, NH 48625",2019-09-03,Đã trả hết,ABC Bank,829010302.4910758
16,2878,Căn hộ,2834052275.8535094,"Unit 4442 Box 8825
DPO AP 57653",2021-02-14,Đang vay,PQR Mortgage,1904466604.4908333
17,2493,Đất nền,3064997002.4437113,"2851 Morris Track
North Sandra, CT 67655",2020-06-18,Đang vay,PQR Mortgage,1021357713.2326949
18,2366,Biệt thự,2057350635.581697,"51600 Williams Villages Suite 142
South Matthew, AK 45090",2020-05-02,Đã trả hết,PQR Mortgage,1239724851.0506186
19,2824,Căn hộ,3359169906.358798,"6257 Kayla Brook
Port Rickychester, IN 37759",2022-04-09,Đang vay,ABC Bank,1617033987.0971096
20,2817,Đất nền,646066090.3740802,"7185 Michelle Knolls Suite 785
Brandonland, RI 33178",2022-06-10,Chưa vay,ABC Bank,1749348371.7122092
21,2464,Nhà ở,3893653783.203218,"97825 Fisher Gateway
Deborahside, NC 68129",2019-04-16,Đã trả hết,XYZ Credit,610419293.5528486
22,2817,Căn hộ,2049902888.4342272,"4420 Hull Prairie Suite 169
Joshuafurt, NC 26124",2019-07-02,Chưa vay,XYZ Credit,403288496.9183102
23,2541,Căn hộ,3454954275.6983256,"4829 Jarvis Stream Suite 636
East Lisa, MO 30709",2021-07-27,Đã trả hết,PQR Mortgage,1434988550.184692
24,2509,Biệt thự,1013857905.6140449,"28630 Anderson Point Suite 480
South Drewburgh, NY 86240",2018-09-13,Đã trả hết,PQR Mortgage,752350695.4293361
25,2816,Căn hộ,1662893749.6947317,"712 Haley Square Apt. 196
New Elizabethside, DC 31339",2020-02-24,Đã trả hết,XYZ Credit,1934570683.9168997
26,2443,Nhà ở,1514183059.9337094,"73899 Watson Gateway
Heatherhaven, AL 74328",2019-12-06,Không vay,XYZ Credit,167119488.61023313
27,2983,Căn hộ,2505508323.540727,"1941 Rodriguez Shoal
Jasonview, AK 04193",2021-09-22,Không vay,XYZ Credit,1956254696.5005217
28,2646,Biệt thự,1504381011.1100183,"155 Tammy Forge
Dawsonhaven, VA 07375",2019-03-16,Chưa vay,PQR Mortgage,1382314897.2847114
29,2823,Đất nền,3469207512.8798585,"35069 Smith Circle
Port Trevorberg, OH 04768",2022-08-07,Không vay,ABC Bank,1501157375.1818485
30,2129,Căn hộ,4439904099.058216,"374 Kenneth Centers
South Jacobside, PA 31266",2021-06-14,Đã trả hết,ABC Bank,1731177372.0774627
31,2318,Đất nền,3847289534.002045,"60993 Warren Route
New Nicole, IA 32821",2022-05-03,Không vay,MNO Finance,347743144.0063751
32,2575,Nhà ở,3157627870.793369,"9640 Green Road Suite 268
Lake Alec, WA 48553",2019-05-05,Đang vay,PQR Mortgage,425882480.8376654
33,2889,Nhà ở,2200859754.546236,"88279 Xavier Rapids Suite 515
Mcdonaldburgh, IL 86145",2021-08-09,Đã trả hết,ABC Bank,490947338.8599389
34,2691,Biệt thự,3161341904.6516256,"9373 Green Roads Suite 240
Lake Anaberg, AK 60354",2018-11-15,Không vay,ABC Bank,1882112413.3863993
35,2400,Đất nền,2768483152.6063356,"85368 Lorraine Court
Stephenhaven, OK 94157",2019-09-16,Chưa vay,MNO Finance,1263043886.095888
36,2412,Đất nền,581418426.3821228,"0472 Williams Key
South Andreaburgh, OH 25732",2021-04-09,Đang vay,MNO Finance,1641164217.7059834
37,2577,Căn hộ,2025930415.3292017,"5609 Max Fort Apt. 701
West Heather, NJ 37778",2020-05-14,Đang vay,MNO Finance,1381464632.47515
38,2858,Biệt thự,4694843623.521322,"6460 Ray Views Apt. 422
Carrilloberg, WY 67576",2021-04-05,Đã trả hết,PQR Mortgage,1559107247.534883
39,2546,Căn hộ,793952463.3034565,"61527 Jason Meadows
South Jacob, MO 08274",2019-09-15,Chưa vay,ABC Bank,352732323.27713716
40,2171,Căn hộ,1706044747.7998047,"844 Williams Trace
Dayberg, WV 24243",2021-07-02,Đã trả hết,MNO Finance,799405198.8707333
41,2349,Nhà ở,1810468793.350106,"26467 Mark Lodge
New Randall, IL 25974",2022-04-27,Không vay,XYZ Credit,1201918408.626496
42,2789,Nhà ở,1943266799.12299,"0866 Wood Lane Apt. 299
North Cristinaview, CA 42770",2023-04-12,Không vay,ABC Bank,822437455.1007142
43,2808,Căn hộ,4228276871.611011,"244 Stephanie Prairie Suite 144
North Alexandrabury, SC 78777",2019-09-11,Đã trả hết,ABC Bank,1268853461.8621695
44,2801,Biệt thự,844932366.6730286,"49771 Wilson Walk Suite 571
North Amanda, ID 05909",2020-10-30,Đang vay,ABC Bank,1909267833.879403
45,2374,Đất nền,3040010749.5808883,"PSC 8943, Box 1920
APO AA 69552",2022-06-24,Chưa vay,PQR Mortgage,1803842888.971025
46,2111,Nhà ở,4224956704.9057837,"519 Patterson Island Apt. 045
North Erica, WA 02129",2018-08-05,Chưa vay,ABC Bank,274197932.9713838
47,2118,Nhà ở,1345649414.3482304,"7008 Clark Flats
West Steven, TX 42430",2021-05-03,Không vay,XYZ Credit,319560543.12531924
48,2172,Căn hộ,1215251426.011539,"12075 Brianna Turnpike
New Jamesborough, CO 15166",2022-03-04,Chưa vay,PQR Mortgage,1830452394.7307332
49,2388,Đất nền,2975940880.4800034,"4549 Kristen Forks
North Nicholasbury, DE 54783",2023-05-19,Không vay,MNO Finance,290245373.50585884
