,customer_id,label_datetime,fraud_label,age,gender,city,occupation,education,marital_status,membership_level,customer_points,total_redeemed_points,discount_rate,has_fraud_txn,has_used_jailbreak,is_emulator,is_blacklist,aov_last_30days,membership_lifespan,num_day_since_last_active,num_active_last_7d,num_active_last_14d,num_active_last_30d,signup_in_latenight,most_active_hour,num_apply_lending,num_reject_lending_by_3pt,total_amount_spent,total_amount_spent_last_30d,total_amount_spent_last_60d,total_amount_spent_last_90d,total_amount_spent_last_180d,total_amount_spent_last_365d,total_tax_amount_spent,total_fee_amount_spent,num_completed_txn,num_canceled_txn,num_reject_txn,pct_reject2total_txn,top_rejected_reason,num_refunded_txn,top_refunded_reason,top_payment_method,top_payment_channel,is_ordering_shipping_address_same,prob_abuse_promotion,num_used_promotion,prob_abnormal_activity,num_select_promotion,num_interest_products,income_spending_ratio,income_stability,total_tax_amount,income_source,annually_income_segment,monthly_income,total_property_value,top_property_type,in_debt,monthly_bill_amount,total_annual_bill_amount,num_bill_overdue
0,657,2021-09-24,Good,19.0,Nam,Thái Nguyên,Designer,Trung học phổ thông,Độc thân,Loyalty,461.0,94,0.03,False,True,True,Không,47926.56113888264,576.0,262,133,441,768,False,22,5.0,17,1754430000,292794000,995608000.0,170573000.0,834777000,927514000,52386100,5715540,29,26,17,0.6980786534614067,Khách hàng không hài lòng với trải nghiệm mua hàng,10,Vấn đề khác,Thanh toán bằng QR Code,Cổng thanh toán của bên thứ ba,True,,86,0.89,,14,0.9574450757472054,Thất thường,5410000,,Dưới 300 triệu,16000000.0,1500000000,Căn hộ/Chung cư,Có,,135108000,8
1,9263,2021-02-22,Good,19.0,Nam,Hà Nội,Lập trình viên,Tiến sĩ,Độc thân,Loyalty,300.0,61,0.03,False,False,False,Không,20896.63846267597,277.0,82,188,515,221,False,21,4.0,11,386783000,213601000,96000.0,65335000.0,938719000,496027000,24954100,101750,6,51,53,0.7369918143093048,Sản phẩm không hoạt động đúng cách,4,Sản phẩm gửi sai,Thanh toán qua cổng thanh toán trực tuyến,Điểm thanh toán tự động,False,,62,0.19,,13,0.6521318666615621,Rất ổn định,9656000,Kinh doanh truyền thống,Trên 1 tỷ,181000000.0,800000000,Bất động sản thương mại,Có,,49524000,7
2,13576,2022-12-12,Bad,35.0,Nữ,Đắk Lắk,Lập trình viên,Đi làm,Độc thân,Loyalty,402.0,218,0.03,False,True,False,Không,95831.74791221097,21.0,205,16,528,619,True,20,15.0,17,4373747000,928772000,487662000.0,485331000.0,14336000,647794000,38924900,7517590,1,1,23,0.4720286206133421,Vấn đề khác,12,Khách hàng không nhận được hàng,Thanh toán bằng QR Code,Cổng thanh toán của bên thứ ba,True,,72,0.6,989.0,8,0.9661389044418413,Thất thường,1467000,Làm thuê,Trên 3 tỷ,,600000000,Căn hộ/Chung cư,Không,,499464000,11
3,6886,2022-12-24,Bad,30.0,,Bình Dương,Kỹ sư,Trung học phổ thông,Độc thân,Loyalty,293.0,259,0.04,False,True,True,Có,8822.900506999033,583.0,58,280,154,494,False,4,,6,3164343000,342508000,981876000.0,698182000.0,255515000,693378000,29828100,7593400,36,72,65,0.5387639749214742,Vấn đề khác,13,Khách hàng không nhận được hàng,Thanh toán qua cổng thanh toán trực tuyến,Ứng dụng điện thoại di động,True,0.0935028248383711,94,0.87,484.0,39,0.5136821240466921,Rất ổn định,2289000,Làm thuê,Từ 300 triệu tới 1 tỷ,9000000.0,500000000,Đất đai,Không,49200000.0,422304000,4
4,1850,2021-10-05,Good,14.0,Nam,Hà Nội,Kỹ sư,Sinh viên,Độc thân,Loyalty,,153,0.04,False,True,False,Không,64454.83777920404,891.0,165,183,588,789,False,2,10.0,16,9261961000,260533000,866643000.0,579500000.0,265511000,43876000,99908600,5843670,186,39,41,0.1835586631392988,Sản phẩm không hoạt động đúng cách,2,"Khách hàng đổi ý, không muốn mua nữa",Thanh toán qua cổng thanh toán trực tuyến,Cửa hàng trực tiếp,True,0.1477807726658719,92,0.62,90.0,17,0.3061423184756915,Rất ổn định,1146000,Làm thuê,Dưới 300 triệu,,1100000000,Căn hộ/Chung cư,Không,,253740000,13
5,9057,2022-03-09,Good,26.0,,Quảng Ngãi,Lập trình viên,Không có,Độc thân,Loyalty,229.0,161,0.03,False,,True,Không,6208.920330213829,888.0,191,94,247,72,True,1,16.0,15,91763000,17364000,891393000.0,170219000.0,901000000,82128000,31632900,770920,23,67,22,0.6577675342480219,Sản phẩm không như hình ảnh minh họa,15,Sản phẩm đã hết hạn sử dụng,Thanh toán bằng QR Code,Cổng thanh toán của bên thứ ba,False,0.1213805459478822,71,0.96,668.0,27,0.6147119979212547,Rất ổn định,4419000,Kinh doanh online,Dưới 300 triệu,50000000.0,300000000,Căn hộ/Chung cư,Có,32100000.0,25320000,20
6,8645,2021-05-19,Good,20.0,Nam,Hà Nội,Bác sĩ,Đi làm,Có gia đình,Loyalty,121.0,106,0.04,True,True,False,Không,28562.513580678493,863.0,6,267,517,336,False,2,14.0,16,9498985000,600242000,861840000.0,532077000.0,397339000,394947000,34269700,2273500,289,83,47,0.1392489464182462,Vấn đề khác,5,Sản phẩm gửi sai,Thanh toán qua cổng thanh toán trực tuyến,Cửa hàng trực tiếp,False,0.2757147430571385,97,0.91,771.0,21,0.1969159437675612,Tạm ổn,6057000,,Dưới 300 triệu,473000000.0,700000000,Căn hộ/Chung cư,Có,300000.0,169116000,24
7,4539,2022-07-24,Good,,,Cần Thơ,Giám đốc,Trung học phổ thông,Ly hôn,Loyalty,,3,0.04,True,False,True,Không,98833.36396619744,243.0,357,149,70,775,True,4,18.0,2,5582444000,447593000,203938000.0,642959000.0,607369000,397381000,54202600,4843490,145,62,18,0.2753985965919273,Sản phẩm không hoạt động đúng cách,8,Khách hàng không nhận được hàng,Thanh toán qua cổng thanh toán trực tuyến,Giao diện thanh toán trực tuyến trên website,False,,59,0.82,148.0,15,0.2734823710425085,Ổn định,2399000,,Trên 3 tỷ,30000000.0,1200000000,Đất đai,Không,,569004000,20
8,6172,2022-07-15,Good,21.0,Nữ,Cần Thơ,Kỹ sư phần mềm,Đi làm,Độc thân,Loyalty,,426,0.05,True,,True,Không,76318.99907473811,658.0,324,158,8,365,True,2,,16,8244046000,262436000,130487000.0,126314000.0,834732000,153780000,91046900,3255110,154,41,54,0.0146943832549586,Dịch vụ không chuyên nghiệp,11,Sản phẩm gửi sai,Thanh toán qua cổng thanh toán trực tuyến,Điểm thanh toán tự động,True,0.3750086867600234,94,0.49,304.0,23,0.77076632975974,Ổn định,8238000,Kinh doanh truyền thống,Dưới 300 triệu,9000000.0,400000000,Căn hộ/Chung cư,Không,,85452000,7
9,490,2022-12-30,Good,36.0,,Bình Dương,Kiến trúc sư,Trung học phổ thông,Đã kết hôn,Loyalty,376.0,135,0.04,False,True,True,Không,48488.58629092965,687.0,191,134,148,849,False,4,,19,2501564000,504969000,545456000.0,,885334000,911285000,52463200,6718430,156,39,47,0.4438871096349188,Sản phẩm giao muộn so với hẹn giao,7,Khách hàng không nhận được hàng,Chuyển khoản ngân hàng,Giao diện thanh toán trực tuyến trên website,False,,87,0.94,,28,0.2407089106748995,Ổn định,9461000,Freelancer,Từ 300 triệu tới 1 tỷ,1000000.0,1900000000,Bất động sản thương mại,Không,44200000.0,123240000,18
