,customer_id,credit_label,member_id,full_name,gender,date_of_birth,address,city,country,phone_number,email,occupation,education,marital_status,membership_level,join_date,expiry_date,membership_status,customer_points,total_redeemed_points,discount_rate,referral_code,age,membership_lifespan,num_day_since_last_active,num_active_last_7d,num_active_last_14d,num_active_last_30d,signup_in_latenight,most_active_hour,num_apply_lending,num_reject_lending_by_3pt,total_amount_spent,total_amount_spent_last_30d,total_amount_spent_last_60d,total_amount_spent_last_90d,total_amount_spent_last_180d,total_amount_spent_last_365d,total_tax_amount_spent,total_fee_amount_spent,num_completed_txn,num_canceled_txn,num_reject_txn,pct_reject2total_txn,top_rejected_reason,num_refunded_txn,top_refunded_reason,top_payment_method,top_payment_channel,is_ordering_shipping_address_same,prob_abuse_promotion,num_used_promotion,prob_abnormal_activity,num_select_promotion,num_interest_products,income_spending_ratio,income_stability,total_tax_amount,income_source,annually_income_segment,monthly_income,total_property_value,top_property_type,in_debt,monthly_bill_amount,total_annual_bill_amount,num_bill_overdue
0,50419,Good,50419,Võ Thành H***g,Nữ,1998-12-23,"1614/76/69/34/259, Đường Số 10, Phường Linh Tây, Quận 9, Đồng Nai, Việt Nam",Đồng Nai,Việt Nam,001-840-870-5465x539,justinfrench@example.com,Kiến trúc sư,Sinh viên,Đã kết hôn,VIP,2015-07-24,,Active,614,200,0.1,FX990,24,837,354,252,303,915,False,3,10,12,1534419000,258057000,965126000,595324000,379103000,513295000,86125300,9941370,146,47,1,0.527308567939844,Sản phẩm không đáp ứng yêu cầu của khách hàng,6,Khách hàng không nhận được hàng,Thanh toán qua cổng thanh toán trực tuyến,Cửa hàng trực tiếp,False,0.23233995648321226,70,0.94,312,29,0.12328900315984448,Rất ổn định,7665000,Kinh doanh online,Trên 3 tỷ,900000000,1100000000,Nhà ở chính,Có,43300000,555240000,13
1,458,Good,458,Mạc Hồng H**h,Nữ,2001-04-15,"760/45/196h, Đường Võ Văn C, Phường 6, Quận 11, Hà Nội, Việt Nam",Hà Nội,Việt Nam,674-533-3993,rwilson@example.org,Designer,Đại học,Độc thân,VIP,2018-05-30,,Active,800,686,0.1,NW487,21,311,72,187,69,1000,True,3,19,12,8341801000,388076000,734228000,859970000,305811000,936993000,25229400,7257440,34,19,1,0.562490940405721,Sản phẩm không đáp ứng yêu cầu của khách hàng,2,Sản phẩm gửi sai,Thanh toán bằng QR Code,Điểm thanh toán tự động,False,0.5226644419756599,87,0.46,926,10,0.3253293989946191,Rất ổn định,9071000,Kinh doanh truyền thống,Trên 3 tỷ,615000000,400000000,Bất động sản thương mại,Có,31600000,289176000,14
2,20532,Good,20532,Sơn Thành L**h,Nữ,1995-12-25,"962/74/78/106, Cách Mạng Tháng Tám, Phường An Cư, Quận Phú Nhuận, Bình Dương, Việt Nam",Bình Dương,Việt Nam,841-221-6697,steinchristopher@example.org,Diễn viên,Đi làm,Có gia đình,VIP,2018-12-25,,Active,673,619,0.1,WH894,27,849,166,164,226,240,False,21,15,9,4350035000,924929000,202899000,848503000,681681000,603593000,60355900,4504410,177,69,1,0.25457214504892023,Sản phẩm giao muộn so với hẹn giao,7,Vấn đề khác,Thanh toán qua cổng thanh toán trực tuyến,Cổng thanh toán của bên thứ ba,False,0.6277449872849591,58,0.78,583,44,0.6336993095157278,Ổn định,7921000,Đầu tư,Dưới 300 triệu,646000000,300000000,Đất đai,Có,49800000,243228000,8
3,11655,Good,11655,Phú Lan B**h,Nam,1997-09-03,"551/71, Lý Tự Trọng, Phường Linh Trung, Quận 3, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,7904248562,housedavid@example.org,Lập trình viên,Sinh viên,Có gia đình,VIP,2022-04-11,,Active,652,567,0.05,IK666,25,821,37,32,273,630,True,6,2,1,8591000,508054000,872911000,512645000,360079000,98364000,52318000,4441740,145,7,9,0.4225340618935083,Sản phẩm giao muộn so với hẹn giao,13,Khách hàng không nhận được hàng,Thẻ tín dụng,Cửa hàng trực tiếp,True,0.3783172257993026,81,0.51,985,43,0.06849196752621578,Rất ổn định,5771000,Kinh doanh truyền thống,Dưới 300 triệu,628000000,700000000,Căn hộ/Chung cư,Có,30300000,30948000,21
4,43585,Good,43585,Trần Thúy T***h,Nữ,1994-02-27,"253/224, Cô Bắc, Phường Bình Trưng Tây, Quận Bình Thạnh, Bắc Giang, Việt Nam",Bắc Giang,Việt Nam,+1-375-668-3118x3238,gerald40@example.com,Bác sĩ,Đại học,Độc thân,VIP,2015-12-12,,Active,608,604,0.07,DJ334,28,527,15,131,473,680,True,1,4,18,1153566000,935648000,153210000,801585000,778771000,619933000,51085300,1805850,284,19,1,0.8970944622301092,Sản phẩm không hoạt động đúng cách,1,"Khách hàng đổi ý, không muốn mua nữa",Thanh toán qua cổng thanh toán trực tuyến,Cổng thanh toán của bên thứ ba,False,0.5589423286040524,63,0.11,657,12,0.16210899439335513,Ổn định,1188000,Đầu tư,Trên 1 tỷ,278000000,1100000000,Bất động sản thương mại,Không,38800000,458592000,20
5,36088,Good,36088,Lỗ Hoài N*ư,Nam,1975-02-09,"1604/917, Phan Đăng Lưu, Phường An Lạc, Quận 11, Bình Dương, Việt Nam",Bình Dương,Việt Nam,+1-457-567-0559x240,kristinwilson@example.net,Lập trình viên,Đi làm,Độc thân,VIP,2020-02-27,,Active,821,434,0.1,WY157,47,299,200,259,236,746,True,23,11,8,2259721000,656843000,585788000,294202000,72799000,604722000,7060400,9092140,10,21,3,0.2951378578938486,Sản phẩm không đáp ứng yêu cầu của khách hàng,14,Sản phẩm bị hỏng trong quá trình vận chuyển,Chuyển khoản ngân hàng,Ứng dụng điện thoại di động,True,0.702323673424324,72,0.58,40,41,0.2149695619353048,Rất ổn định,9039000,Kinh doanh online,Trên 1 tỷ,833000000,1000000000,Bất động sản thương mại,Có,44600000,79272000,21
6,97569,Good,97569,Lý Ngọc K***h,Nam,1999-08-27,"1664/40/198/139y, Hoàng Sa, Phường 8, Quận Tân Bình, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,6408218183,hurstrobert@example.com,Kỹ sư,Không có,Độc thân,VIP,2022-04-21,2025-01-08,Active,908,841,0.07,OY362,23,437,346,18,180,400,False,2,6,16,5525372000,718668000,588850000,379036000,814231000,188380000,61705400,8703170,160,48,5,0.9545414970195766,Dịch vụ không chuyên nghiệp,2,"Khách hàng đổi ý, không muốn mua nữa",Thanh toán qua cổng thanh toán trực tuyến,Cửa hàng trực tiếp,True,0.04788189018453315,62,0.89,51,32,0.8945930282481928,Rất ổn định,9017000,Kinh doanh truyền thống,Trên 3 tỷ,882000000,1500000000,Căn hộ/Chung cư,Có,13500000,322140000,1
7,47011,Good,47011,Uông Mỹ T**ý,Nam,2001-10-26,"2279/874, Lý Chính Thắng, Phường An Phú, Thanh Oai, Kiên Giang, Việt Nam",Kiên Giang,Việt Nam,661.807.5180x051,ahowell@example.net,Designer,Đi làm,Có gia đình,VIP,2021-04-08,,Active,635,256,0.1,SA877,21,886,254,73,592,997,True,1,2,10,6036206000,707459000,520148000,633931000,2267000,904238000,45387400,5196400,102,70,3,0.8822552557773703,Vấn đề khác,6,Sản phẩm nhận không đủ số lượng,Thẻ tín dụng,Ứng dụng điện thoại di động,False,0.03501313052826971,76,0.38,378,5,0.13712709280985058,Ổn định,6924000,Làm thuê,Trên 1 tỷ,820000000,1200000000,Bất động sản thương mại,Có,44900000,6720000,4
8,78450,Good,78450,Hạ Phúc M**h,Nam,2000-10-17,"486/12/167, Trương Định, Phường Thủ Thiêm, Thanh Xuân, Cần Thơ, Việt Nam",Cần Thơ,Việt Nam,001-762-915-8849,kennethwinters@example.net,Giám đốc,Đại học,Độc thân,VIP,2021-08-13,,Active,761,52,0.1,KY712,22,594,71,265,4,725,True,21,13,11,2998553000,982851000,774873000,703847000,412515000,517379000,3369100,623270,18,94,1,0.9320567699576005,Sản phẩm giao muộn so với hẹn giao,5,"Khách hàng đổi ý, không muốn mua nữa",Thẻ tín dụng,Điểm thanh toán tự động,False,0.4346666876107673,86,0.03,472,7,0.04877825821801607,Rất ổn định,619000,Đầu tư,Trên 1 tỷ,917000000,300000000,Đất đai,Không,30900000,408996000,12
9,22173,Good,22173,Lỗ Thị Y*n,Nam,1986-05-09,"432/38/145/88, Hoàng Văn Thụ, Phường Linh Chiểu, Gia Lâm, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,3144817247,zwilliams@example.org,Kỹ sư phần mềm,Trung học phổ thông,Có gia đình,VIP,2016-09-23,,Active,562,21,0.1,TD805,36,325,62,236,279,945,True,23,20,4,4768886000,538898000,692961000,537070000,492629000,113386000,47161800,3351430,195,23,53,0.15200515629556466,Sản phẩm không như hình ảnh minh họa,11,Sản phẩm đã hết hạn sử dụng,Chuyển khoản ngân hàng,Ứng dụng điện thoại di động,True,0.619349689840127,93,0.49,884,33,0.17040106626828377,Rất ổn định,3820000,Kinh doanh online,Trên 1 tỷ,892000000,1200000000,Bất động sản thương mại,Có,47900000,439464000,10
