,payment_id,payment_datetime,order_id,total_amount,payment_method,payment_status,billing_address,shipping_address,payment_channel,tax_amount
0,0.0,2013-01-01 00:07:00,27611,0.0,Chuyển khoản ngân hàng,Hủy bỏ,"1412/16/103/191/295w, Trần Hưng Đạo, Phường An Hòa, Thanh Oai, Hà Nội, Việt Nam","1007/692, Lê Lai, Phường 10, Quận 5, Kiên Giang, Việt Nam",POS,0.0
1,1.0,2020-07-22 20:57:44,68915,45594000.0,Chuyển khoản ngân hàng,Đang chờ xử lý,"2225/20, Đường Số 8, Phường An Lạc, Ba Đình, Hà Nội, Việt Nam","2475/93/58/147/25k, Đường Nguyễn Văn A, Phường 3, Hà Đông, Hà Nội, Việt Nam",Online,3647520.0
2,2.0,2022-12-16 03:51:11,61093,315010000.0,Thẻ tín dụng,Hủy bỏ,"145/72/12/84/19, Đinh Tiên Hoàng, Phường An Cư, Phú Thọ, Quảng Trị, Việt Nam","2084/60/20, Nguyễn Văn A, Phường Linh Chiểu, Thanh Oai, Đồng Nai, Việt Nam",Online,34651100.0
3,3.0,2022-10-14 08:05:36,39984,25000.0,Chuyển khoản ngân hàng,Đã thanh toán,"192/182, Nguyễn Huệ, Phường Linh Chiểu, Nam Từ Liêm, Hải Phòng, Việt Nam","1287/82/155/23I, Trương Quyền, Phường 3, Quận Tân Phú, Hà Nam, Việt Nam",POS,3750.0
4,4.0,2021-11-15 22:08:45,95137,26300000.0,Chuyển khoản ngân hàng,Thất bại,"2136/30/168/130/14C, Lê Lai, Phường 9, Gia Lâm, Bình Dương, Việt Nam","1932/13/40, Lê Quý Đôn, Phường An Hòa, Quận Thủ Đức, Hồ Chí Minh, Việt Nam",Redeemed Points,4208000.0
5,5.0,2022-02-15 19:45:08,13806,0.0,Chuyển khoản ngân hàng,Hủy bỏ,"1837/601, Võ Văn Tần, Phường 9, Quận Tân Phú, Hồ Chí Minh, Việt Nam","731/66/47/196/355, Phố Nguyễn Thị B, Phường Thủ Thiêm, Quận 10, Bình Phước, Việt Nam",Online,0.0
6,6.0,2022-02-24 17:33:11,40260,83970000.0,Chuyển khoản ngân hàng,Hủy bỏ,"2124/11/116/112/57, Lê Thánh Tôn, Phường Bình Khánh, Sóc Sơn, Hải Phòng, Việt Nam","1140/20/11/97/186M, Đường Số 7, Phường Bình Trưng Tây, Quận Tân Phú, Bà Rịa - Vũng Tàu, Việt Nam",Online,10916100.0
7,7.0,2022-11-25 07:26:57,82935,0.0,Thẻ ghi nợ,Đã thanh toán,"1282/48/169/61/375a, Đường Số 5, Phường Linh Tây, Đông Anh, Cần Thơ, Việt Nam","1228/90/147/264/39C, Bùi Hữu Nghĩa, Phường Trường Thọ, Ba Vì, Đà Nẵng, Việt Nam",Online,0.0
8,8.0,2018-10-03 06:39:45,75640,193747000.0,Thanh toán qua cổng thanh toán trực tuyến,Đang xử lý,"2876/747, Trần Hưng Đạo, Phường Bình Trưng Đông, Phúc Thọ, Hà Nội, Việt Nam","1469/717, Cô Bắc, Phường Linh Chiểu, Thanh Trì, Cần Thơ, Việt Nam",Online,34874460.0
9,9.0,2019-01-16 05:53:38,75452,350000000.0,Thanh toán qua ví điện tử,Đang xử lý,"1203/13/136/256, Cống Lở, Phường Thủ Thiêm, Thanh Oai, Đà Nẵng, Việt Nam","1931/3/101/185/271, Đường Số 7, Phường Bình An, Hoàng Mai, Hồ Chí Minh, Việt Nam",Online,35000000.0
