customer_id,full_name,gender,date_of_birth,address,city,country,phone_number,email,occupation,education,marital_status
0,Cung Yến N**c,Nữ,1990-11-16,"1412/16/103/191/295w, Trần Hưng Đạo, Phường An Hòa, Thanh Oai, Hà Nội, Việt Nam",Hà Nội,Việt Nam,440-498-7977x6218,vincentjeffrey@example.com,Kỹ sư phần mềm,Đại học,Độc thân
1,Cao Diễm K***h,Nữ,2011-05-04,"1622/57/195t, Trần Hưng Đạo, Phường 8, Đan Phượng, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,(576)816-1716x97417,jeffrey09@example.com,Công nhân,,Đã kết hôn
2,Trình Linh T***t,Nữ,2002-04-08,"2184/255, Võ Thị Sáu, Phường Bình Trưng Đông, Thạch Thất, Đà Nẵng, Việt Nam",Đà Nẵng,Việt Nam,670.437.5888x389,victoria48@example.com,Nhân viên,Đi làm,Độc thân
3,Hà Thành Q***g,Nam,1998-07-27,"2136/30/168/130/14C, Lê Lai, Phường 9, Gia Lâm, Bình Dương, Việt Nam",Bình Dương,Việt Nam,,collinskeith@example.net,Giám đốc,Tiến sĩ,Có gia đình
4,Lư Tuyến D*y,,2001-08-21,"1837/601, Võ Văn Tần, Phường 9, Quận Tân Phú, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,204.371.3587,williamscharles@example.com,Giáo viên,Sinh viên,
5,Trần Lan N*m,,,"2524/17/114/3/304, Nguyễn Đình Chiểu, Phường An Cư, Gia Lâm, Tiền Giang, Việt Nam",Tiền Giang,Việt Nam,,kathryn68@example.net,Nhiếp ảnh gia,Đại học,
6,Lưu Trâm Đ**g,Nữ,1991-02-16,"1282/48/169/61/375a, Đường Số 5, Phường Linh Tây, Đông Anh, Cần Thơ, Việt Nam",Cần Thơ,Việt Nam,(569)494-2388x66176,elizabethgarcia@example.org,Lập trình viên,Sinh viên,Có gia đình
7,Vĩnh Đình N**c,Nữ,2001-07-04,"2876/747, Trần Hưng Đạo, Phường Bình Trưng Đông, Phúc Thọ, Hà Nội, Việt Nam",Hà Nội,Việt Nam,001-580-809-0100x048,hendrickswendy@example.com,Kỹ sư phần mềm,Đại học,Có 1 bé
8,Huỳnh Trường H***n,,1989-03-15,"217/32/145/210/64, Trương Định, Phường 10, Đông Anh, Hà Nội, Việt Nam",Hà Nội,Việt Nam,959-637-3599,srowe@example.com,Kỹ sư phần mềm,Trung học phổ thông,Độc thân
9,,Nam,1980-07-18,"866/196, Phố Ngô Quyền, Phường An Lợi Đông, Nam Từ Liêm, Thừa Thiên Huế, Việt Nam",Thừa Thiên Huế,Việt Nam,634-832-8041,xwhite@example.net,,Đại học,Độc thân
10,Huỳnh Gia B*o,Nữ,1996-03-21,"1128/921, Đường Số 6, Phường Linh Đông, Tây Hồ, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,625-693-3811,,Kiến trúc sư,Đại học,Độc thân
11,Hồ Tuyến Y*n,,1993-10-13,"2407/625, Cô Giang, Phường An Phú, Thanh Xuân, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,001-980-459-1970,burnschristina@example.com,Bác sĩ,Tiến sĩ,Có gia đình
12,Bùi Yến K**n,,1999-02-08,,Cần Thơ,Việt Nam,(881)810-8154x23764,lambamy@example.net,Giáo viên,Thạc sĩ,Độc thân
13,Lưu Thái Q***h,Nữ,1993-07-10,"2966/30/79/105/117L, Lê Văn Phan, Phường Trường Thọ, Mỹ Đức, Bình Phước, Việt Nam",Bình Phước,Việt Nam,+1-856-405-5759x825,rsantiago@example.net,Designer,Đi làm,Có gia đình
14,Tống Kiên S*n,Nữ,2002-05-11,"560/35/124, Đường Số 9, Phường Trường Thọ, Thanh Trì, Cần Thơ, Việt Nam",Cần Thơ,Việt Nam,467.320.0414,mary63@example.org,Lập trình viên,Thạc sĩ,Độc thân
15,Cung Nguyệt M*,Nữ,2003-12-20,"1837/337, Đồng Khởi, Phường Thủ Thiêm, Quận Gò Vấp, Cần Thơ, Việt Nam",Cần Thơ,Việt Nam,,chad49@example.net,Kỹ sư,Trung học phổ thông,Độc thân
16,Hứa Đình P**c,Nữ,1989-05-25,"703/63/164/134, Lê Văn Phan, Phường Bình An, Phúc Thọ, Đắk Nông, Việt Nam",Đắk Nông,,001-984-276-5111x7605,kristinehunt@example.org,Bác sĩ,Đi làm,
17,Lục Quang Q***h,Nữ,,,Phú Thọ,Việt Nam,,angela32@example.net,,Trung học phổ thông,Có gia đình
18,Dương Vân N****n,Nam,1981-01-24,"1780/888, Điện Biên Phủ, Phường Bình An, Hòa Bình, Hà Nội, Việt Nam",Hà Nội,,(743)703-6367,marc78@example.com,Lập trình viên,Đi làm,Độc thân
19,Cao Yến N**c,Nam,2010-12-05,"1180/8/154/147/26O, Trần Hưng Đạo, Phường Bình An, Thanh Trì, Hải Phòng, Việt Nam",Hải Phòng,Việt Nam,(299)881-7963x71340,james44@example.com,Kỹ sư,Đi làm,Độc thân
20,,Nữ,1993-03-22,"1415/12/36/151, Nguyễn Cư Trinh, Phường 12, Ba Vì, Cần Thơ, Việt Nam",Cần Thơ,Việt Nam,487-433-4140x1065,cheryl91@example.com,Bác sĩ,Sinh viên,Độc thân
21,Bành Oanh D**m,Nam,2001-05-16,"1261/58/64, Đường Số 2, Phường Thảo Điền, Cầu Giấy, Hà Nội, Việt Nam",Hà Nội,Việt Nam,(717)678-1087x59421,craigsullivan@example.org,Kỹ sư phần mềm,Sinh viên,Có gia đình
22,Hạ Thịnh N*a,Nữ,1995-08-19,"635/63/56, Nguyễn Thị Minh Khai, Phường Bình Trưng Đông, Thanh Trì, Hà Nội, Việt Nam",Hà Nội,,,colondustin@example.com,Kỹ sư phần mềm,Sinh viên,Độc thân
23,Võ Hưng T**m,Nam,1995-03-05,"2526/439, Lê Thị Riêng, Phường Bình Trưng Tây, Hà Đông, Bắc Giang, Việt Nam",Bắc Giang,Việt Nam,558.749.4384x40509,williamskyle@example.com,Giáo viên,,Ly hôn
24,Trịnh Nguyên N**t,,1998-09-30,"1345/155, Nguyễn Thị Minh Khai, Phường Tam Phú, Quận 6, Cần Thơ, Việt Nam",Cần Thơ,Việt Nam,001-933-915-3250x83754,ckemp@example.com,Kỹ sư,,Độc thân
25,,Nam,1996-06-11,"1742/64/115, Trương Đăng Quế, Phường Bình Trưng Đông, Hà Đông, Đà Nẵng, Việt Nam",Đà Nẵng,Việt Nam,,simpsondaniel@example.net,Đầu bếp,Sinh viên,Có 1 bé
